STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
372,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190924\CN-CON04_00293_9-13-2019.JPG,6.0,Cattle
373,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190924\CT-CT06_00739_9-23-2019.JPG,17.0,Raccoon
374,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01539_7-20-2019.JPG,5.0,Pig
375,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_Cam78_190827\CSE-COSE0.8_00271_8-20-2019.JPG,27.0,Opossum
376,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.6_190522\CNE-CONE05.6_00601_5-20-2019.JPG,0.0,None
377,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_02170_3-30-2019.JPG,6.0,Cattle
378,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01333_2-18-2019.JPG,21.0,Mouse
379,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00246_3-2-2019.JPG,22.0,Rat
380,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_04_190301\BVE-BVE04_00743_2-15-2019.JPG,18.0,Unknown
381,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00065_8-2-2019.JPG,22.0,Rat
382,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_11_190424\BSW-BVSW11_00990_4-14-2019.JPG,6.0,Cattle
383,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_01_190730\BVE-BVE01_00093_5-20-2019.JPG,6.0,Cattle
384,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190211\CSC-CSC12_00577_2-2-2019.JPG,7.0,Coyote
385,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11.5_190521\CNC-CONC11.5_04310_4-30-2019.JPG,0.0,None
386,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_00330_6-29-2019.JPG,5.0,Pig
387,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_Cam161_190813\BVS-BVS03_03900_8-7-2019.JPG,0.0,None
388,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_01816_2-22-2019.JPG,8.0,Bobcat
389,Rio Costero South,F:\Nilgai_photo_database\RC\RCS\RC_S_02_190507_Cam32\RCS-RCS02_00238_4-13-2019.JPG,19.0,Ocelot
390,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190910\CNE-CONE05.4_00218_9-3-2019.JPG,27.0,Opossum
391,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_02_190522\CNC-CONC02_00064_5-22-2019.JPG,9.0,Humans
392,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190401\CSE-COSE17_00387_3-23-2019.JPG,22.0,Rat
393,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190424_Cam75\BVS-BVS01_00066_4-5-2019.JPG,5.0,Pig
394,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190708\CLE-COLE12_00677_7-1-2019.JPG,5.0,Pig
395,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190402\CNE-CONE05.3_00305_3-21-2019.JPG,15.0,Rabbit
396,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01335_7-27-2019.JPG,33.0,Turkey
397,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09.1_190212\RCW-RCW09.1_02147_2-8-2019.JPG,13.0,Nilgai
398,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.1_190507\RCW-RCW00.1_11532_4-12-2019.JPG,0.0,None
399,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190322\CNC-CONC65.5_09980_3-11-2019.JPG,12.0,White-tailed deer
400,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190429\CSE-COSE0.8_00067_4-5-2019.JPG,13.0,Nilgai
401,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam84\RCW-RCW02.1_00357_3-7-2019.JPG,26.0,Armadillo
402,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190620\CNW-CONW03_01493_6-18-2019.JPG,27.0,Opossum
403,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03872_12-17-2018.JPG,11.0,"Exotics, other"
404,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_055_190429\CLE-COLE055_00158_4-14-2019.JPG,12.0,White-tailed deer
405,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_01999_2-16-2019.JPG,29.0,Skunk
406,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190402\CN-CON03_00127_3-6-2019.JPG,6.0,Cattle
407,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_04621_3-22-2019.JPG,12.0,White-tailed deer
408,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190401\CSE-COSE17_00214_3-17-2019.JPG,22.0,Rat
409,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190729\CLE-COLE12_00953_7-24-2019.JPG,11.0,"Exotics, other"
410,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190207_Cam161\BVS-BVS03_00184_2-5-2019.jpg,9.0,Humans
411,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_08_190424\RUS-RUS08_00007_4-4-2019.JPG,13.0,Nilgai
412,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190404_Cam100\CLE-COLE11_00607_3-29-2019.JPG,18.0,Unknown
413,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01488_2-2-2019.JPG,19.0,Ocelot
414,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_03_190528\RUS-RUS03_07885.JPG,0.0,None
415,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04086_12-19-2018.JPG,11.0,"Exotics, other"
416,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00294_8-25-2019.JPG,26.0,Armadillo
417,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_01215_7-9-2019.JPG,5.0,Pig
418,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00506_9-13-2019.JPG,5.0,Pig
419,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00791_7-19-2019.JPG,33.0,Turkey
420,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01196_8-10-2019.JPG,27.0,Opossum
421,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00190_2-19-2019.JPG,7.0,Coyote
422,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_01829_5-19-2019.JPG,13.0,Nilgai
423,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190301\BSW-BVSW01_01547_2-22-2018.JPG,7.0,Coyote
424,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02323_1-27-2019.JPG,11.0,"Exotics, other"
425,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190812\CLE-COLE12_02448_8-9-2019.JPG,21.0,Mouse
426,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_04_190910\BSE-BVSE04_01787_8-29-2019.JPG,0.0,None
427,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_03_190211\CSE-COSE03_00943_1-11-2019.JPG,7.0,Coyote
428,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190812\CNE-CONE05.35_00898_8-3-2019.JPG,5.0,Pig
429,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190211_Cam108\CNC-CONC07_00273_1-26-2019.JPG,25.0,Dog
430,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_08_Cam57_190724\CNC-CONC08_01065_7-15-2019.JPG,9.0,Humans
431,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_04_190827\BSE-BVSE04_05829_8-23-2019.JPG,13.0,Nilgai
432,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_03.1_190403\RCW-RCW03.1_00721_3-9-2019.JPG,0.0,None
433,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00725_6-13-2019.JPG,25.0,Dog
434,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_08193_9-5-2019.JPG,17.0,Raccoon
435,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00570_3-5-2019.JPG,18.0,Unknown
436,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_07_190924\BEM-BVEM07_00007_9-11-2019.JPG,10.0,Birds
437,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_0.55_190603\CNC-CONC0.55_00093_5-22-2019.JPG,9.0,Humans
438,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_01455_5-16-2019.JPG,12.0,White-tailed deer
439,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_04_190827\BSE-BVSE04_06583_8-26-2019.JPG,0.0,None
440,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190729_CamNilgai12\CNE-CONE05.3_00279_7-26-2019.JPG,5.0,Pig
441,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190924\CT-CT06_00522_9-20-2019.JPG,8.0,Bobcat
442,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190827\CLE-COLE05_00367_8-20-2019.JPG,7.0,Coyote
443,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00683_6-13-2019.JPG,25.0,Dog
444,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_00645_6-29-2019.JPG,12.0,White-tailed deer
445,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04388_12-22-2018.JPG,18.0,Unknown
446,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190301_Cam39\BVS-BVS02_00150_2-15-2019.JPG,6.0,Cattle
447,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190301\BSW-BVSW01_00460_2-13-2018.JPG,7.0,Coyote
448,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_02422_2-7-2019.JPG,5.0,Pig
449,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00287_8-29-2019.JPG,27.0,Opossum
450,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00227_4-7-2019.JPG,22.0,Rat
451,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00653_1-29-2019.JPG,7.0,Coyote
452,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_05_190813\RUM-RUM05_00144_8-4-2019.JPG,7.0,Coyote
453,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00575_6-13-2019.JPG,25.0,Dog
454,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190812\CNW-CONW03_00849_8-7-2019.JPG,26.0,Armadillo
455,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00591_2-24-2019.JPG,8.0,Bobcat
456,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01263_9-8-2019.JPG,33.0,Turkey
457,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01049_7-11-2019.JPG,26.0,Armadillo
458,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190424\BSE-BVSE01_00586_4-23-2019.JPG,6.0,Cattle
459,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190812\CLE-COLE0667_04932_8-8-2019.JPG,0.0,None
460,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02354_2-18-2019.JPG,22.0,Rat
461,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_07_190405_Cam142\BSE-BVSE07_00031_3-20-2019.JPG,8.0,Bobcat
462,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_04_190401\CSE-COSE04_00218_3-12-2019.JPG,9.0,Humans
463,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190827\BSE-BVSE03_06999_8-18-2018.JPG,7.0,Coyote
464,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05429_12-31-2018.JPG,11.0,"Exotics, other"
465,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.3_190228_Cam41\RCW-RCW02.3_00294_1-30-2019.JPG,13.0,Nilgai
466,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_01_190301\BVN-BVN01_02290_2-24-2019.JPG,5.0,Pig
467,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_02_190211\CNC-CONC02_02768_1-28-2019.JPG,5.0,Pig
468,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190729\CSE-COSE0.8_00030_7-26-2019.JPG,26.0,Armadillo
469,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_06_190730\BVE-BVE06_01587_7-4-2019.JPG,6.0,Cattle
470,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02010_2-16-2019.JPG,29.0,Skunk
471,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00577_6-13-2019.JPG,25.0,Dog
472,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190924\BEM-BVEM02_00484_9-18-2019.JPG,6.0,Cattle
473,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00919_4-21-2019.JPG,22.0,Rat
474,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.1_190507\RCW-RCW00.1_08537_4-11-2019.JPG,13.0,Nilgai
475,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.5_190211\CNE-CONE05.5_00326_1-25-2019.JPG,7.0,Coyote
476,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190827\CSC-CSC12_00280_8-18-2019.JPG,33.0,Turkey
477,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_222_190924\CLE-COLE222_01441_9-14-2019.JPG,8.0,Bobcat
478,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00089_8-2-2019.JPG,22.0,Rat
479,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX0047.JPG,22.0,Rat
480,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190729\CSE-COSE0.8_00016_7-26-2019.JPG,26.0,Armadillo
481,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190301\BVM-BVM20_36413_2-5-2019.JPG,0.0,None
482,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00244_9-1-2019.JPG,8.0,Bobcat
483,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_03590_3-16-2019.JPG,18.0,Unknown
484,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_01022_4-23-2019.JPG,22.0,Rat
485,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01210_9-8-2019.JPG,33.0,Turkey
486,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_05758_3-29-2019.JPG,28.0,Spider
487,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00452_8-11-2019.JPG,33.0,Turkey
488,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00166_9-1-2019.JPG,26.0,Armadillo
489,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.2_190624\CNE-CONE05.2_05641_6-20-2019.JPG,0.0,None
490,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_03_190207_Cam130\RCNX0512.JPG,12.0,White-tailed deer
491,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02_190403\RCW-RCW02_00475_3-30-2019.JPG,26.0,Armadillo
492,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_11_190424\BSW-BVSW11_00302_4-9-2019.JPG,6.0,Cattle
493,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00711_6-13-2019.JPG,25.0,Dog
494,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.6_190211\CNE-CONE05.6_00304_1-26-2019.JPG,13.0,Nilgai
495,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_07_190813\RUM-RUM07_00063_8-3-2019.JPG,7.0,Coyote
496,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_01305_8-10-2019.JPG,8.0,Bobcat
497,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190522\CNC-CONC11_00966_5-10-2019.JPG,27.0,Opossum
498,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_00489_6-23-2019.JPG,26.0,Armadillo
499,Rio Costero South,F:\Nilgai_photo_database\RC\RCS\RC_S_01_190228\RCS-RCS01_00202_2-22-2019.JPG,5.0,Pig
500,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_02_190211\CSE-COSE02_00296_1-25-2019.JPG,13.0,Nilgai
501,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190301\RUS-RUS04_00939_2-14-2019.JPG,9.0,Humans
502,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_04021_8-2-2019.JPG,12.0,White-tailed deer
503,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.2_190729\CNE-CONE05.2_04287_7-27-2019.JPG,21.0,Mouse
504,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190520_Cam169E\BVS-BVS01_00038_5-11-2019.JPG,15.0,Rabbit
505,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190401\CSE-COSE17_00494_3-26-2019.JPG,22.0,Rat
506,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01354_7-27-2019.JPG,33.0,Turkey
507,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00777_1-24-2019.JPG,7.0,Coyote
508,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01224_9-8-2019.JPG,33.0,Turkey
509,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_00104_2-9-2019.JPG,15.0,Rabbit
510,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_03547_3-15-2019.JPG,18.0,Unknown
511,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190620\CNC-CONC07_01127_6-11-2019.JPG,9.0,Humans
512,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_01749_12-19-2018.JPG,5.0,Pig
513,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_05589_8-18-2019.JPG,18.0,Unknown
514,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00556_6-13-2019.JPG,25.0,Dog
515,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01231_9-8-2019.JPG,33.0,Turkey
516,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01432_8-12-2019.JPG,26.0,Armadillo
517,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190522\CN-CON03_00268_5-4-2019.JPG,6.0,Cattle
518,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190528\RCW-RCW09_00626_4-25-2019.JPG,12.0,White-tailed deer
519,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_04494_8-2-2019.JPG,12.0,White-tailed deer
520,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_04448_3-27-2019.JPG,18.0,Unknown
521,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_00146_12-9-2018.JPG,7.0,Coyote
522,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00364_6-12-2019.JPG,25.0,Dog
523,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_02168_8-24-2019.JPG,26.0,Armadillo
524,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01659_7-22-2019.JPG,26.0,Armadillo
525,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_09065_8-26-2019.JPG,12.0,White-tailed deer
526,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_222_190924\CLE-COLE222_01423_9-13-2019.JPG,8.0,Bobcat
527,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_04.1_190301\BVE-BVE04.1_00484_2-19-2019.JPG,10.0,Birds
528,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190301\BVH-BVH02_00342_2-17-2019.JPG,6.0,Cattle
529,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02484_2-21-2019.JPG,15.0,Rabbit
530,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_08_190301\BSE-BVSE08_00584_2-21-2019.JPG,5.0,Pig
531,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_02162_2-25-2019.JPG,21.0,Mouse
532,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190401\CSE-COSE17_00238_3-18-2019.JPG,22.0,Rat
533,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00014_3-1-2019.JPG,17.0,Raccoon
534,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00464_8-11-2019.JPG,33.0,Turkey
535,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190729\CT-CT06_02673_7-15-2019.JPG,9.0,Humans
536,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00198_7-31-2019.JPG,15.0,Rabbit
537,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_00324_7-31-2019.JPG,17.0,Raccoon
538,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00070_2-9-2019.JPG,8.0,Bobcat
539,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_01825_5-19-2019.JPG,13.0,Nilgai
540,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190522\CLE-COLE0669_05622_5-22-2019.JPG,0.0,None
541,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00660_1-29-2019.JPG,8.0,Bobcat
542,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190924\CNC-CONC65.5_00263_9-15-2019.JPG,18.0,Unknown
543,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00130_2-9-2019.JPG,24.0,Horse
544,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_21_190204\RCW-RCW21_01011_1-23-2019.JPG,12.0,White-tailed deer
545,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190620\CNC-CONC07_01644_6-20-2019.JPG,9.0,Humans
546,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam84\RCW-RCW02.1_00130_2-15-2019.JPG,8.0,Bobcat
547,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00113_8-28-2019.JPG,8.0,Bobcat
548,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_07084_8-19-2019.JPG,18.0,Unknown
549,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07.1_190729\CNC-CONC07.1_00185_7-8-2019.JPG,9.0,Humans
550,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06347_1-10-2019.JPG,11.0,"Exotics, other"
551,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190403\RCW-RCW09_00184_3-5-2019.JPG,21.0,Mouse
552,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_04_190813\BSE-BVSE04_02156_8-9-2019.JPG,18.0,Unknown
553,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_02_190211\CNC-CONC02_02047_1-26-2019.JPG,6.0,Cattle
554,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00138_3-21-2019.JPG,28.0,Spider
555,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.4_190507_ CAM50\RCW-RCW02.4_07696_4-20-2019.JPG,12.0,White-tailed deer
556,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_01897_2-13-2019.JPG,15.0,Rabbit
557,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_03570_3-15-2019.JPG,18.0,Unknown
558,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190110\BVM-BVM20_00796_1-2-2019.JPG,13.0,Nilgai
